Element Id,Parameter Name,Parameter Type,Parameter Unit,Parameter Value
15117997,Flow,Double,L/s,0.0
15118217,Flow,Double,L/s,0.0
15118244,Flow,Double,L/s,0.0
15367869,Flow,Double,L/s,0.0
15367882,Flow,Double,L/s,0.0
15368014,Flow,Double,L/s,0.0
15368153,Flow,Double,L/s,0.0
15368299,Flow,Double,L/s,0.0
15368416,Flow,Double,L/s,0.0
15368418,Flow,Double,L/s,0.0
15368699,Flow,Double,L/s,0.0
15369016,Flow,Double,L/s,0.0
15369018,Flow,Double,L/s,0.0
15818211,Flow,Double,L/s,0.0
15870303,Flow,Double,L/s,0.0
15889856,Flow,Double,L/s,0.0
15889950,Flow,Double,L/s,0.0
15889951,Flow,Double,L/s,0.0
15889952,Flow,Double,L/s,0.0
15889953,Flow,Double,L/s,0.0
15889955,Flow,Double,L/s,0.0
15889956,Flow,Double,L/s,0.0
15889960,Flow,Double,L/s,0.0
15889962,Flow,Double,L/s,0.0
15889963,Flow,Double,L/s,0.0
15889965,Flow,Double,L/s,0.0
15890263,Flow,Double,L/s,0.0
15890264,Flow,Double,L/s,0.0
15890265,Flow,Double,L/s,0.0
15890267,Flow,Double,L/s,0.0
15890269,Flow,Double,L/s,0.0
15890272,Flow,Double,L/s,0.0
15890273,Flow,Double,L/s,0.0
15890274,Flow,Double,L/s,0.0
15890278,Flow,Double,L/s,0.0
15890279,Flow,Double,L/s,0.0
15890519,Flow,Double,L/s,0.0
15890520,Flow,Double,L/s,0.0
15890522,Flow,Double,L/s,0.0
15890524,Flow,Double,L/s,0.0
15890526,Flow,Double,L/s,0.0
15890529,Flow,Double,L/s,0.0
15890530,Flow,Double,L/s,0.0
15890531,Flow,Double,L/s,0.0
15890533,Flow,Double,L/s,0.0
15890536,Flow,Double,L/s,0.0
15890537,Flow,Double,L/s,0.0
15890765,Flow,Double,L/s,0.0
15890766,Flow,Double,L/s,0.0
15890767,Flow,Double,L/s,0.0
15890769,Flow,Double,L/s,0.0
15890771,Flow,Double,L/s,0.0
15890774,Flow,Double,L/s,0.0
15890775,Flow,Double,L/s,0.0
15890776,Flow,Double,L/s,0.0
15890780,Flow,Double,L/s,0.0
15890781,Flow,Double,L/s,0.0
15891065,Flow,Double,L/s,0.0
15891066,Flow,Double,L/s,0.0
15891068,Flow,Double,L/s,0.0
15891072,Flow,Double,L/s,0.0
15891181,Flow,Double,L/s,0.0
15891182,Flow,Double,L/s,0.0
15891184,Flow,Double,L/s,0.0
15891188,Flow,Double,L/s,0.0
15891412,Flow,Double,L/s,0.0
15891413,Flow,Double,L/s,0.0
15891415,Flow,Double,L/s,0.0
15891419,Flow,Double,L/s,0.0
15891532,Flow,Double,L/s,0.0
15891533,Flow,Double,L/s,0.0
15891535,Flow,Double,L/s,0.0
15891539,Flow,Double,L/s,0.0
15891756,Flow,Double,L/s,0.0
15891757,Flow,Double,L/s,0.0
15891759,Flow,Double,L/s,0.0
15891763,Flow,Double,L/s,0.0
15891828,Flow,Double,L/s,0.0
15891829,Flow,Double,L/s,0.0
15891830,Flow,Double,L/s,0.0
15891832,Flow,Double,L/s,0.0
15891834,Flow,Double,L/s,0.0
15891837,Flow,Double,L/s,0.0
15891838,Flow,Double,L/s,0.0
15891839,Flow,Double,L/s,0.0
15891843,Flow,Double,L/s,0.0
15891844,Flow,Double,L/s,0.0
15891875,Flow,Double,L/s,0.0
15891876,Flow,Double,L/s,0.0
15891877,Flow,Double,L/s,0.0
15891879,Flow,Double,L/s,0.0
15891881,Flow,Double,L/s,0.0
15891884,Flow,Double,L/s,0.0
15891885,Flow,Double,L/s,0.0
15891886,Flow,Double,L/s,0.0
15891890,Flow,Double,L/s,0.0
15891891,Flow,Double,L/s,0.0
15891989,Flow,Double,L/s,0.0
15891990,Flow,Double,L/s,0.0
15891991,Flow,Double,L/s,0.0
15891993,Flow,Double,L/s,0.0
15891995,Flow,Double,L/s,0.0
15891998,Flow,Double,L/s,0.0
15891999,Flow,Double,L/s,0.0
15892000,Flow,Double,L/s,0.0
15892004,Flow,Double,L/s,0.0
15892005,Flow,Double,L/s,0.0
15892145,Flow,Double,L/s,0.0
15892146,Flow,Double,L/s,0.0
15892147,Flow,Double,L/s,0.0
15892149,Flow,Double,L/s,0.0
15892151,Flow,Double,L/s,0.0
15892154,Flow,Double,L/s,0.0
